"pub_date","lead_paragraph","main"
"2017-02-25T18:54:31+0000","JACKSONVILLE, Ark. — On a frigid morning here, Nancy Godinez was piling bread and other staples into her car outside a food pantry. She had lost her job as a custodian, her unemployment checks had run out, and her job search had proved fruitless.","The Adults a Medicaid Work Requirement Would Leave Behind"
"2017-04-01T16:31:29+0000","WASHINGTON — The husband-and-wife team of Jared Kushner and Ivanka Trump, now both senior federal government officials, has been alongside President Trump as the White House has hosted dozens of chief executives and a handful of world leaders in recent weeks.","Trump Couple, Now White House Employees, Can’t Escape Conflict Laws"
"2017-05-22T01:01:00+0000","RIYADH, Saudi Arabia — As voters in Iran danced in the streets, celebrating the landslide re-election of a moderate as president, President Trump stood in front of a gathering of leaders from across the Muslim world and called on them to isolate a nation he said had “fueled the fires of sectarian conflict and terror.”","In Saudi Arabia, Trump Reaches Out to Sunni Nations, at Iran’s Expense"
"2017-03-06T02:20:31+0000","WASHINGTON — It began at 6 p.m. Thursday as a conspiratorial rant on conservative talk radio: President Barack Obama had used the “instrumentalities of the federal government” to wiretap the Republican seeking to succeed him. This “is the big scandal,” Mark Levin, the host, told his listeners.","A Conspiracy Theory’s Journey From Talk Radio to Trump’s Twitter"
"2017-03-24T13:57:40+0000","WASHINGTON — House Republican leaders, facing a revolt among conservatives and moderates in their ranks, pulled legislation to repeal the Affordable Care Act from consideration on the House floor Friday in a major defeat for President Trump on the first legislative showdown of his presidency.","In Major Defeat for Trump, Push to Repeal Health Law Fails"
"2017-03-22T18:32:58+0000","WASHINGTON — For weeks, President Trump has insisted that President Barack Obama tapped his phones even as the F.B.I. director and members of Mr. Trump’s own party said there was no evidence for his charge. But on Wednesday, Mr. Trump got an assist from a powerful House Republican who said the president or his closest associates may have been “incidentally” swept up in foreign surveillance by American spy agencies.","Monitoring May Have ‘Incidentally’ Picked Up Trump Aides, House Member Says"
"2017-05-31T01:19:57+0000","WASHINGTON — The last time relations between the United States and Europe were this bad — in the spring of 2003, during the buildup to the invasion of Iraq — the administration of George W. Bush decided to “punish France, ignore Germany and forgive Russia,” in a phrase attributed to the national security adviser at the time, Condoleezza Rice.","Blind Spots in Trump’s Trade Tirade Against Germany"
"2017-02-19T22:36:20+0000","WASHINGTON — You might think it would take a toll on a person, being nominated for the Supreme Court and then having to wait around for eight months in a public state of suspended preparation, simultaneously holding out hope and seeing it drift away.","Liberals Are Still Angry, but Merrick Garland Has Reached Acceptance"
"2017-02-20T16:00:09+0000","Readers who picked up The New York Times on March 13, 1852, might have seen a small advertisement on Page 3 for a serial tale set to begin the next day in a rival newspaper.","In a Walt Whitman Novel, Lost for 165 Years, Clues to ‘Leaves of Grass’"
"2017-01-02T10:00:26+0000","RUTLAND, Vt. — They hustled into the church on a biting winter evening, unburdened themselves of scarves and gloves, and settled into pews to sound out words in Arabic.","Ailing Vermont Town Pins Hopes on Mideast Refugees"
"2017-02-25T18:54:31+0000","JACKSONVILLE, Ark. — On a frigid morning here, Nancy Godinez was piling bread and other staples into her car outside a food pantry. She had lost her job as a custodian, her unemployment checks had run out, and her job search had proved fruitless.","The Adults a Medicaid Work Requirement Would Leave Behind"
"2017-04-01T16:31:29+0000","WASHINGTON — The husband-and-wife team of Jared Kushner and Ivanka Trump, now both senior federal government officials, has been alongside President Trump as the White House has hosted dozens of chief executives and a handful of world leaders in recent weeks.","Trump Couple, Now White House Employees, Can’t Escape Conflict Laws"
"2017-05-22T01:01:00+0000","RIYADH, Saudi Arabia — As voters in Iran danced in the streets, celebrating the landslide re-election of a moderate as president, President Trump stood in front of a gathering of leaders from across the Muslim world and called on them to isolate a nation he said had “fueled the fires of sectarian conflict and terror.”","In Saudi Arabia, Trump Reaches Out to Sunni Nations, at Iran’s Expense"
"2017-03-06T02:20:31+0000","WASHINGTON — It began at 6 p.m. Thursday as a conspiratorial rant on conservative talk radio: President Barack Obama had used the “instrumentalities of the federal government” to wiretap the Republican seeking to succeed him. This “is the big scandal,” Mark Levin, the host, told his listeners.","A Conspiracy Theory’s Journey From Talk Radio to Trump’s Twitter"
"2017-03-24T13:57:40+0000","WASHINGTON — House Republican leaders, facing a revolt among conservatives and moderates in their ranks, pulled legislation to repeal the Affordable Care Act from consideration on the House floor Friday in a major defeat for President Trump on the first legislative showdown of his presidency.","In Major Defeat for Trump, Push to Repeal Health Law Fails"
"2017-03-22T18:32:58+0000","WASHINGTON — For weeks, President Trump has insisted that President Barack Obama tapped his phones even as the F.B.I. director and members of Mr. Trump’s own party said there was no evidence for his charge. But on Wednesday, Mr. Trump got an assist from a powerful House Republican who said the president or his closest associates may have been “incidentally” swept up in foreign surveillance by American spy agencies.","Monitoring May Have ‘Incidentally’ Picked Up Trump Aides, House Member Says"
"2017-05-31T01:19:57+0000","WASHINGTON — The last time relations between the United States and Europe were this bad — in the spring of 2003, during the buildup to the invasion of Iraq — the administration of George W. Bush decided to “punish France, ignore Germany and forgive Russia,” in a phrase attributed to the national security adviser at the time, Condoleezza Rice.","Blind Spots in Trump’s Trade Tirade Against Germany"
"2017-02-19T22:36:20+0000","WASHINGTON — You might think it would take a toll on a person, being nominated for the Supreme Court and then having to wait around for eight months in a public state of suspended preparation, simultaneously holding out hope and seeing it drift away.","Liberals Are Still Angry, but Merrick Garland Has Reached Acceptance"
"2017-02-20T16:00:09+0000","Readers who picked up The New York Times on March 13, 1852, might have seen a small advertisement on Page 3 for a serial tale set to begin the next day in a rival newspaper.","In a Walt Whitman Novel, Lost for 165 Years, Clues to ‘Leaves of Grass’"
"2017-01-02T10:00:26+0000","RUTLAND, Vt. — They hustled into the church on a biting winter evening, unburdened themselves of scarves and gloves, and settled into pews to sound out words in Arabic.","Ailing Vermont Town Pins Hopes on Mideast Refugees"
"2017-05-10T16:06:30+0000","WASHINGTON — In a surprising victory for President Barack Obama’s environmental legacy, the Senate voted on Wednesday to uphold an Obama-era climate change regulation to control the release of methane from oil and gas wells on public land.","In Win for Environmentalists, Senate Keeps an Obama-Era Climate Change Rule"
"2017-05-20T16:13:12+0000","WASHINGTON — The Chinese government systematically dismantled C.I.A. spying operations in the country starting in 2010, killing or imprisoning more than a dozen sources over two years and crippling intelligence gathering there for years afterward.","Killing C.I.A. Informants, China Crippled U.S. Spying Operations"
