"pub_date","lead_paragraph","main"
"2018-04-10T00:23:54+0000","WASHINGTON — The special counsel is investigating a payment made to President Trump’s foundation by a Ukrainian steel magnate for a talk during the campaign, according to three people briefed on the matter, as part of a broader examination of streams of foreign money to Mr. Trump and his associates in the years leading up to the election.","Mueller Investigating Ukrainian’s $150,000 Payment for a Trump Appearance"
"2018-01-29T22:18:06+0000","WASHINGTON — The Taliban are in retreat, the Afghan military is on the brink of assuming control of the country, and the government in Kabul is one step away from being able to provide security across the land. So three successive presidential administrations have said over 16 years about the war in Afghanistan.","Attacks Reveal What U.S. Won’t: Victory Remains Elusive in Afghanistan"
"2018-01-01T17:51:39+0000","TEHRAN — Ignoring pleas for calm from President Hassan Rouhani, Iranian protesters took to the streets in several cities for the fifth day on Monday as pent-up economic and political frustrations boiled over in the broadest display of discontent in years.","Deadly Iran Protests Prompt Warning of Harsher Response"
"2018-01-05T00:28:29+0000","WASHINGTON — The Presidential Advisory Commission on Election Integrity, which was disbanded this week by the White House, grew out of a presidential tweet.","Trump Closes Voter Fraud Panel That Bickered More Than It Revealed"
"2018-01-11T01:17:07+0000","With jitters and with prayers, with countdown clocks in their heads and their immigration lawyers on speed-dial, hundreds of thousands of young immigrants have spent all fall and winter watching President Trump and congressional leaders negotiate their fate, every fleck of news a tantalizing omen.","What ‘Dreamers’ Say About the Great Immigration Debate"
"2018-03-16T18:50:56+0000","CALGARY, Alberta — As leader of one of Canada’s largest refugee agencies, Fariborz Birjandian, a refugee himself, has years of experience welcoming the world’s most vulnerable — Kosovar Albanians fleeing ethnic cleansing, Burmese Karens evicted from Thai refugee camps and Syrians escaping the civil war.","Canada Struggles as It Opens Its Arms to Victims of ISIS"
"2018-01-07T21:27:31+0000","TANCÍTARO, Mexico — The road to this agricultural town winds through the slums and cartel-controlled territory of Michoacán, ground zero for Mexico’s drug war, before arriving at a sight so strange it can seem like a mirage.","Losing Faith in the State, Some Mexican Towns Quietly Break Away"
"2018-02-28T13:36:51+0000","PARKLAND, Fla. — Brooke Harrison, 14, was still in a deep sleep when her mother knocked on her door and hugged her awake at 6:45 Wednesday morning. “You need to get up,” she told her daughter. “You don’t want to be late for school today.”","Scared but Resilient, Stoneman Douglas Students Return to Class"
"2018-02-26T01:28:11+0000","Saudi Arabia has long been the dominant force in oil, leaving the world at the mercy of its ambitions and its interests. Now the kingdom must refresh its strategy to reflect a weaker hand — and in many ways, a different game.","Lower Oil Prices Force Saudis to Widen Their Circle of Friends"
"2018-03-28T01:20:52+0000","As a start-up called Cambridge Analytica sought to harvest the Facebook data of tens of millions of Americans in summer 2014, the company received help from at least one employee at Palantir Technologies, a top Silicon Valley contractor to American spy agencies and the Pentagon.","Spy Contractor’s Idea Helped Cambridge Analytica Harvest Facebook Data"
"2018-04-10T00:23:54+0000","WASHINGTON — The special counsel is investigating a payment made to President Trump’s foundation by a Ukrainian steel magnate for a talk during the campaign, according to three people briefed on the matter, as part of a broader examination of streams of foreign money to Mr. Trump and his associates in the years leading up to the election.","Mueller Investigating Ukrainian’s $150,000 Payment for a Trump Appearance"
