"pub_date","lead_paragraph","main"
"2019-04-25T10:01:18+0000","Former Vice President Joseph R. Biden Jr. announced Thursday that he would seek the Democratic nomination to challenge President Trump in 2020, casting the election as a national emergency and asking Democrats to put the task of defeating Mr. Trump above all their other ambitions.","Joe Biden Announces 2020 Run for President, After Months of Hesitation"
"2019-04-22T06:30:08+0000","There are the Sacklers, the family that controls Purdue Pharma, the maker of OxyContin. There are the doctors who ran pill mills, and the rogue pharmacists who churned out opioid orders by the thousands.","The Giants at the Heart of the Opioid Crisis"
"2019-03-30T07:00:04+0000","LONDON — This week, as two members of Parliament interrupted a debate on Brexit to rib each other about the elite boarding schools they attended four decades ago, 23-year-old Eve Alcock looked on with deep disgust.","‘We’re in the Last Hour’: Democracy Itself Is on Trial in Brexit, Britons Say"
"2019-02-22T19:01:46+0000","For more than two decades, the R&B singer R. Kelly has been trailed by allegations of sexual misconduct. He was married to a young singer who turned out to be 15 years old. There were claims that he controlled women in a cultlike atmosphere. He was linked to an infamous sex tape. None of it meaningfully stood in his way.","R. Kelly Charged With 10 Counts of Sexual Abuse in Chicago"
"2019-02-07T16:21:32+0000","WASHINGTON — Liberal Democrats put flesh on their “Green New Deal” slogan on Thursday with a sweeping resolution intended to redefine the national debate on climate change by calling for the United States to eliminate additional emissions of carbon by 2030.","Liberal Democrats Formally Call for a ‘Green New Deal,’ Giving Substance to a Rallying Cry"
"2019-01-18T01:36:00+0000","LOS ANGELES — Maria Lopez had to rush off for her job at a nearby laundromat. Carmen Vasquez did not want her son to ruin his perfect attendance and needed to get to the home across town where she cleans a couple of times a week. Aurelia Aguilar needed to get to the restaurant where she cooks and serves.","At Los Angeles Teachers’ Strike, a Rallying Cry: More Funding, Fewer Charters"
"2019-03-06T21:21:32+0000","WASHINGTON — She paused to maintain her composure as she spoke. She recalled the attacks, and how her reports of them were handled. The despair, she said, almost made her leave the military.","Senator Martha McSally Says Superior Officer in the Air Force Raped Her"
"2019-04-15T00:09:07+0000","WASHINGTON — Stephen Miller was furious — again.","Trump Sees an Obstacle to Getting His Way on Immigration: His Own Officials"
"2019-05-25T16:01:03+0000","For nearly three weeks, Baltimore has struggled with a cyberattack by digital extortionists that has frozen thousands of computers, shut down email and disrupted real estate sales, water bills, health alerts and many other services.","In Baltimore and Beyond, a Stolen N.S.A. Tool Wreaks Havoc"
"2019-01-18T15:18:49+0000","WASHINGTON — House Democrats have added more than $1 billion in border-related spending to a package of funding bills that would reopen most of the government, even as President Trump said he would have a “major announcement” on Saturday about the border and the shutdown stalemate.","Trump to Make ‘Major Announcement’ on Border as Democrats Sweeten Offer"
"2019-04-25T10:01:18+0000","Former Vice President Joseph R. Biden Jr. announced Thursday that he would seek the Democratic nomination to challenge President Trump in 2020, casting the election as a national emergency and asking Democrats to put the task of defeating Mr. Trump above all their other ambitions.","Joe Biden Announces 2020 Run for President, After Months of Hesitation"
"2019-04-22T06:30:08+0000","There are the Sacklers, the family that controls Purdue Pharma, the maker of OxyContin. There are the doctors who ran pill mills, and the rogue pharmacists who churned out opioid orders by the thousands.","The Giants at the Heart of the Opioid Crisis"
"2019-03-30T07:00:04+0000","LONDON — This week, as two members of Parliament interrupted a debate on Brexit to rib each other about the elite boarding schools they attended four decades ago, 23-year-old Eve Alcock looked on with deep disgust.","‘We’re in the Last Hour’: Democracy Itself Is on Trial in Brexit, Britons Say"
"2019-02-22T19:01:46+0000","For more than two decades, the R&B singer R. Kelly has been trailed by allegations of sexual misconduct. He was married to a young singer who turned out to be 15 years old. There were claims that he controlled women in a cultlike atmosphere. He was linked to an infamous sex tape. None of it meaningfully stood in his way.","R. Kelly Charged With 10 Counts of Sexual Abuse in Chicago"
"2019-02-07T16:21:32+0000","WASHINGTON — Liberal Democrats put flesh on their “Green New Deal” slogan on Thursday with a sweeping resolution intended to redefine the national debate on climate change by calling for the United States to eliminate additional emissions of carbon by 2030.","Liberal Democrats Formally Call for a ‘Green New Deal,’ Giving Substance to a Rallying Cry"
"2019-01-18T01:36:00+0000","LOS ANGELES — Maria Lopez had to rush off for her job at a nearby laundromat. Carmen Vasquez did not want her son to ruin his perfect attendance and needed to get to the home across town where she cleans a couple of times a week. Aurelia Aguilar needed to get to the restaurant where she cooks and serves.","At Los Angeles Teachers’ Strike, a Rallying Cry: More Funding, Fewer Charters"
"2019-03-06T21:21:32+0000","WASHINGTON — She paused to maintain her composure as she spoke. She recalled the attacks, and how her reports of them were handled. The despair, she said, almost made her leave the military.","Senator Martha McSally Says Superior Officer in the Air Force Raped Her"
"2019-04-15T00:09:07+0000","WASHINGTON — Stephen Miller was furious — again.","Trump Sees an Obstacle to Getting His Way on Immigration: His Own Officials"
