"pub_date","lead_paragraph","main"
"2017-12-29T01:16:38+0000","At least 12 people were killed when a fire fueled by gusty winds tore through a century-old apartment building in the Bronx on a frigid Thursday night, New York City officials said. It was the deadliest fire in the city in more than a quarter-century.","Bronx Fire, City’s Deadliest in Decades, Kills at Least 12 and Injures More"
"2017-11-14T12:28:28+0000","WASHINGTON — President Trump did not need to send a memo or telephone his attorney general to make his desires known. He broadcast them for all the world to see on Twitter. The instruction was clear: The Justice Department should investigate his defeated opponent from last year’s campaign.","‘Lock Her Up’ Becomes More Than a Slogan"
"2017-11-21T00:51:52+0000","The Trump administration is ending a humanitarian program that has allowed some 59,000 Haitians to live and work in the United States since an earthquake ravaged their country in 2010, Homeland Security officials said on Monday.","Trump Administration Ends Temporary Protection for Haitians"
"2017-12-24T05:05:17+0000","Late last year, the novelist Keira Drake announced that her publisher was giving away copies of her upcoming young adult novel, “The Continent,” a fantasy set in a world where two nations have been at war for centuries. “It’s raining books!” she wrote.","In an Era of Online Outrage, Do Sensitivity Readers Result in Better Books, or Censorship?"
"2017-11-12T17:05:08+0000","WASHINGTON — Jake Williams awoke last April in an Orlando, Fla., hotel where he was leading a training session. Checking Twitter, Mr. Williams, a cybersecurity expert, was dismayed to discover that he had been thrust into the middle of one of the worst security debacles ever to befall American intelligence.","Security Breach and Spilled Secrets Have Shaken the N.S.A. to Its Core"
"2017-11-04T23:58:30+0000","LONDON — Saudi Arabia announced the arrest on Saturday night of the prominent billionaire investor Prince Alwaleed bin Talal, plus at least 10 other princes, four ministers and tens of former ministers.","Saudi Arabia Arrests 11 Princes, Including Billionaire Alwaleed bin Talal"
"2017-11-09T00:04:47+0000","WASHINGTON — Senate Republicans, under pressure to pass a sweeping tax rewrite before year’s end, are expected to unveil legislation on Thursday that would eliminate the ability of people to deduct state and local taxes but would stop short of fully repealing the estate tax, according to lobbyists and other people familiar with the bill.","Senate Republicans Will Diverge From House in Sweeping Tax Rewrite"
"2017-11-06T18:00:53+0000","Tim Cook was angry.","After a Tax Crackdown, Apple Found a New Shelter for Its Profits"
"2017-12-25T21:25:56+0000","NASHVILLE — Tim Vogus, a professor at Vanderbilt University’s business school, was stoking the debate in his classroom one day this fall, asking first-year M.B.A. students about one of the most successful, and controversial, companies of the day. On the syllabus was Uber, a case study in both sensational business success and rampant corporate misbehavior.","Business Schools Now Teaching #MeToo, N.F.L. Protests and Trump"
"2017-12-12T01:16:01+0000","WASHINGTON — When Lauren Greene, a former communications director for Representative Blake Farenthold, sued him claiming sexual harassment, among her complaints was that he “disclosed that a female lobbyist had propositioned him for ‘a threesome.’”","Tawdry Tales Depict a Texas Congressman’s Frat House on the Hill"
"2017-12-29T01:16:38+0000","At least 12 people were killed when a fire fueled by gusty winds tore through a century-old apartment building in the Bronx on a frigid Thursday night, New York City officials said. It was the deadliest fire in the city in more than a quarter-century.","Bronx Fire, City’s Deadliest in Decades, Kills at Least 12 and Injures More"
"2017-11-14T12:28:28+0000","WASHINGTON — President Trump did not need to send a memo or telephone his attorney general to make his desires known. He broadcast them for all the world to see on Twitter. The instruction was clear: The Justice Department should investigate his defeated opponent from last year’s campaign.","‘Lock Her Up’ Becomes More Than a Slogan"
"2017-11-21T00:51:52+0000","The Trump administration is ending a humanitarian program that has allowed some 59,000 Haitians to live and work in the United States since an earthquake ravaged their country in 2010, Homeland Security officials said on Monday.","Trump Administration Ends Temporary Protection for Haitians"
"2017-12-24T05:05:17+0000","Late last year, the novelist Keira Drake announced that her publisher was giving away copies of her upcoming young adult novel, “The Continent,” a fantasy set in a world where two nations have been at war for centuries. “It’s raining books!” she wrote.","In an Era of Online Outrage, Do Sensitivity Readers Result in Better Books, or Censorship?"
"2017-11-12T17:05:08+0000","WASHINGTON — Jake Williams awoke last April in an Orlando, Fla., hotel where he was leading a training session. Checking Twitter, Mr. Williams, a cybersecurity expert, was dismayed to discover that he had been thrust into the middle of one of the worst security debacles ever to befall American intelligence.","Security Breach and Spilled Secrets Have Shaken the N.S.A. to Its Core"
"2017-11-04T23:58:30+0000","LONDON — Saudi Arabia announced the arrest on Saturday night of the prominent billionaire investor Prince Alwaleed bin Talal, plus at least 10 other princes, four ministers and tens of former ministers.","Saudi Arabia Arrests 11 Princes, Including Billionaire Alwaleed bin Talal"
"2017-11-09T00:04:47+0000","WASHINGTON — Senate Republicans, under pressure to pass a sweeping tax rewrite before year’s end, are expected to unveil legislation on Thursday that would eliminate the ability of people to deduct state and local taxes but would stop short of fully repealing the estate tax, according to lobbyists and other people familiar with the bill.","Senate Republicans Will Diverge From House in Sweeping Tax Rewrite"
"2017-11-06T18:00:53+0000","Tim Cook was angry.","After a Tax Crackdown, Apple Found a New Shelter for Its Profits"
