"pub_date","lead_paragraph","main"
"2018-11-17T00:39:20+0000","WASHINGTON — The Central Intelligence Agency has concluded that the Saudi crown prince, Mohammed bin Salman, ordered the killing of the journalist Jamal Khashoggi, according to American officials.","C.I.A. Concludes That Saudi Crown Prince Ordered Khashoggi Killed"
"2018-11-17T10:00:06+0000","VICTORVILLE, Calif. — Makeup, earrings and perfume are off limits. So are smiles.","Hazing, Humiliation, Terror: Working While Female in Federal Prison"
"2018-11-21T23:07:54+0000","WASHINGTON — The escalating brinkmanship between the United States and China as they race to quash each other’s global influence is forcing other nations to pick sides between the two superpowers, putting at risk future cooperation on geopolitical threats and a resolution to the economic standoff.","In Race for Global Power, U.S. and China Push Nations to Pick a Side"
"2018-12-14T16:20:29+0000","FOX CROSSING, Wis. — Gov. Scott Walker made a national name for himself in the Republican Party by cutting the power of public sector unions eight years ago, only weeks after he swept into office in Wisconsin. On Friday, he signed legislation to cut the power of the Democrat who defeated him, a final act of a tumultuous tenure that moved Wisconsin firmly to the right.","Wisconsin’s Scott Walker Signs Bills Stripping Powers From Incoming Governor"
"2018-12-13T16:49:54+0000","WASHINGTON — The Senate voted on Thursday to end American military assistance for Saudi Arabia’s war in Yemen in the strongest show of bipartisan defiance against President Trump’s defense of the kingdom over the killing of a dissident journalist.","Senate Votes to End Aid for Yemen Fight Over Khashoggi Killing and Saudis’ War Aims"
"2018-12-22T18:59:18+0000","WASHINGTON — When President Trump grows frustrated with advisers during meetings, which is not an uncommon occurrence, he sits back in his chair, crosses his arms and scowls. Often he erupts. “Freaking idiots!” he calls his aides. Except he uses a more pungent word than “freaking.”","For Trump, ‘a War Every Day,’ Waged Increasingly Alone"
"2018-12-06T08:00:07+0000","The stench from Abraham Clemente’s apartment in Flatbush, Brooklyn, this summer was overwhelming. Maggot-infested scrambled eggs were strewn across the floor; a cantaloupe was so spoiled, it seemed to be melting. Feces were ground into the carpet.","‘I Want to Live Like a Human Being’: Where N.Y. Fails Its Mentally Ill"
"2018-12-20T08:11:11+0000","LONDON — It is one of the busiest airports in Europe. It survived World War II, when it served as a base for R.A.F. night fighters flying missions against Nazi Germany. It has just been brought to a standstill by the humble drone.","Gatwick Airport Shut Down by ‘Deliberate’ Drone Incursions"
"2018-12-07T16:10:06+0000","BEIJING — The arrest of one of China’s leading tech executives by the Canadian police for extradition to the United States has unleashed a combustible torrent of outrage and alarm among affluent and influential Chinese, posing a delicate political test for President Xi Jinping and his grip on the loyalty of the nation’s elite.","Huawei Arrest Tests China’s Leaders as Fear and Anger Grip Elite"
"2018-11-30T08:00:15+0000","BREAUX BRIDGE, La. — Bryson Sassau’s application would inspire any college admissions officer. ","Louisiana School Made Headlines for Sending Black Kids to Elite Colleges. Here’s the Reality."
"2018-11-17T00:39:20+0000","WASHINGTON — The Central Intelligence Agency has concluded that the Saudi crown prince, Mohammed bin Salman, ordered the killing of the journalist Jamal Khashoggi, according to American officials.","C.I.A. Concludes That Saudi Crown Prince Ordered Khashoggi Killed"
"2018-11-17T10:00:06+0000","VICTORVILLE, Calif. — Makeup, earrings and perfume are off limits. So are smiles.","Hazing, Humiliation, Terror: Working While Female in Federal Prison"
"2018-11-21T23:07:54+0000","WASHINGTON — The escalating brinkmanship between the United States and China as they race to quash each other’s global influence is forcing other nations to pick sides between the two superpowers, putting at risk future cooperation on geopolitical threats and a resolution to the economic standoff.","In Race for Global Power, U.S. and China Push Nations to Pick a Side"
