"pub_date","lead_paragraph","main"
"2018-06-19T09:00:12+0000","TUCSON, Ariz. — They filed into the room seven by seven for a dose of rapid-fire justice: In less than a minute and in quick succession, each migrant pleaded guilty to illegally entering the United States, and was sentenced.","Swift Frontier Justice for Migrants Brought to Federal Courts"
"2018-08-29T20:27:41+0000","WASHINGTON — Education Secretary Betsy DeVos is preparing new policies on campus sexual misconduct that would bolster the rights of students accused of assault, harassment or rape, reduce liability for institutions of higher education and encourage schools to provide more support for victims.","New U.S. Sexual Misconduct Rules Bolster Rights of Accused and Protect Colleges"
"2018-08-24T09:00:23+0000","Four days before the 2016 congressional primary in her Northern California district, Erin Schrode woke up to tens of thousands of messages. They were everywhere: in her email, on her cellphone, on her Facebook and her Twitter and her Instagram. ","For Female Candidates, Harassment and Threats Come Every Day"
"2018-06-06T17:40:11+0000","SEOUL, South Korea — He ordered his uncle executed and half brother assassinated. He spent millions developing and testing a hydrogen bomb and intercontinental ballistic missiles as his people suffered severe food shortages. He exchanged threats of nuclear annihilation with President Trump, calling the American leader a “mentally deranged U.S. dotard.”","Kim Jong-un’s Image Shift: From Nuclear Madman to Skillful Leader"
"2018-07-26T13:26:53+0000","LAHORE, Pakistan — Imran Khan, a charismatic cricket star who has fiercely criticized American counterterrorism policy in a region plagued by extremism, appeared poised on Thursday to become Pakistan’s next prime minister.","The Rise, Fall and Rise Again of Imran Khan, Pakistan’s Next Leader"
"2018-08-16T23:44:52+0000","WASHINGTON — For more than a year, law enforcement officials have repeatedly rebuffed President Trump’s efforts to use the power of his office to derail the Russia investigation. Stymied, Mr. Trump is lashing out in other ways against an investigation that he clearly hates or fears.","Revoking Clearance, Trump Aims Presidential Power at Russia Inquiry"
"2018-08-02T11:11:16+0000","ROME — Pope Francis has declared the death penalty wrong in all cases, a definitive change in church teaching that is likely to challenge Catholic politicians, judges and officials who have argued that their church was not entirely opposed to capital punishment.","Pope Francis Declares Death Penalty Unacceptable in All Cases"
"2018-06-05T16:25:41+0000","Buying a Kate Spade handbag was a coming-of-age ritual for a generation of American women. The designer created an accessories empire that helped define the look of an era. The purses she made became a status symbol and a token of adulthood.","Kate Spade, Whose Handbags Carried Women Into Adulthood, Is Dead at 55"
"2018-06-03T16:10:29+0000","WASHINGTON — As they inspect the nation’s gun stores, federal investigators regularly find violations of the law, ranging from minor record-keeping errors to illegal sales of firearms. In the most serious cases, like a sale of a gun to a prohibited buyer, inspectors often recommend that gun dealers lose their licenses.","When Guns Are Sold Illegally, A.T.F. Is Lenient on Punishment"
"2018-06-15T15:47:37+0000","WASHINGTON — A federal judge revoked Paul Manafort’s bail and sent him to jail on Friday to await trial, citing new charges that Mr. Manafort had tried to influence the testimony of two government witnesses after he had been granted a temporary release.","Judge Orders Paul Manafort Jailed Before Trial, Citing New Obstruction Charges"
"2018-06-19T09:00:12+0000","TUCSON, Ariz. — They filed into the room seven by seven for a dose of rapid-fire justice: In less than a minute and in quick succession, each migrant pleaded guilty to illegally entering the United States, and was sentenced.","Swift Frontier Justice for Migrants Brought to Federal Courts"
"2018-08-29T20:27:41+0000","WASHINGTON — Education Secretary Betsy DeVos is preparing new policies on campus sexual misconduct that would bolster the rights of students accused of assault, harassment or rape, reduce liability for institutions of higher education and encourage schools to provide more support for victims.","New U.S. Sexual Misconduct Rules Bolster Rights of Accused and Protect Colleges"
