"pub_date","lead_paragraph","main"
"2019-09-02T22:53:45+0000","ODESSA, Tex. — Monette Rodriguez remembers the oil field truck-driver who lived at the Peppertree Place Apartments. He had the phrase “Oilfield Mafia” displayed on the back window of his blue Dodge Challenger. And he liked to party — neighbors complained that women made frequent visits at all hours of the night to his apartment.","Texas Gunman: From Small-Time Troublemaker to Mass Killer"
"2019-08-21T09:00:09+0000","When the Trump administration first pushed to open the Arctic National Wildlife Refuge in Alaska to oil exploration, it predicted that drilling would generate a windfall for the federal Treasury: $1.8 billion, by a White House estimate.","The White House Saw Riches in the Arctic Refuge, but Reality May Fall Short"
"2019-08-25T18:53:31+0000","For more than two decades, the Trump International Hotel and Tower has soared over Central Park, a crown jewel of President Trump’s family business that features luxury hotel rooms and exclusive private residences just off Columbus Circle.","Trump’s Signature New York Hotel and the Art of the Compromise"
"2019-10-20T02:08:57+0000","WASHINGTON — President Trump said on Saturday that he would no longer hold next year’s Group of 7 meeting at his luxury golf club near Miami, a swift reversal after two days of intense criticism over awarding his family company a major diplomatic event. ","After Criticism, Trump to Select New Location for G7"
"2019-09-06T15:59:47+0000","The Justice Department has opened an antitrust inquiry into the four major automakers that struck a deal with California this year to reduce automobile emissions, according to people familiar with the matter, escalating a standoff over one of the president’s most significant rollbacks of climate regulations. ","Justice Dept. Investigates California Emissions Pact That Embarrassed Trump"
"2019-06-04T10:00:04+0000","WASHINGTON — When Joseph R. Biden Jr. was Barack Obama’s vice president, their administration brokered the landmark Paris climate accord and imposed the nation’s first federal regulations for cutting carbon dioxide emissions.","Climate Change Takes Center Stage as Biden and Warren Release Plans"
"2019-08-17T10:27:08+0000","These three things are all true: The United States almost certainly isn’t in a recession right now. It may well avoid one for the foreseeable future. But the chances that the nation will fall into recession have increased sharply in the last two weeks.","How the Recession of 2020 Could Happen"
"2019-07-03T09:00:14+0000","In the run-up to the 2020 census, the government has embraced technology as never before, hoping to halt the ballooning cost of the decennial head count. For the first time, households will have the option of responding online, and field workers going door to door will be equipped with smartphones to log the information they collect.","Hacking, Glitches, Disinformation: Why Experts Are Worried About the 2020 Census"
"2019-07-14T23:57:36+0000","WASHINGTON — President Trump woke up on Sunday morning, gazed out at the nation he leads, saw the dry kindling of race relations and decided to throw a match on it. It was not the first time, nor is it likely to be the last. He has a pretty large carton of matches and a ready supply of kerosene.","Trump Fans the Flames of a Racial Fire"
"2019-06-20T00:05:49+0000","WASHINGTON — President Trump revels in his friendships with the leaders of China and North Korea, but can seem jealous when his two friends spend time with each other. He once griped that President Xi Jinping of China encouraged a visiting Kim Jong-un of North Korea to take a harder line in his nuclear diplomacy with the United States.","A Trio of Unlikely Partners: Kim, Xi and Trump"
"2019-09-02T22:53:45+0000","ODESSA, Tex. — Monette Rodriguez remembers the oil field truck-driver who lived at the Peppertree Place Apartments. He had the phrase “Oilfield Mafia” displayed on the back window of his blue Dodge Challenger. And he liked to party — neighbors complained that women made frequent visits at all hours of the night to his apartment.","Texas Gunman: From Small-Time Troublemaker to Mass Killer"
"2019-08-21T09:00:09+0000","When the Trump administration first pushed to open the Arctic National Wildlife Refuge in Alaska to oil exploration, it predicted that drilling would generate a windfall for the federal Treasury: $1.8 billion, by a White House estimate.","The White House Saw Riches in the Arctic Refuge, but Reality May Fall Short"
"2019-08-25T18:53:31+0000","For more than two decades, the Trump International Hotel and Tower has soared over Central Park, a crown jewel of President Trump’s family business that features luxury hotel rooms and exclusive private residences just off Columbus Circle.","Trump’s Signature New York Hotel and the Art of the Compromise"
"2019-10-20T02:08:57+0000","WASHINGTON — President Trump said on Saturday that he would no longer hold next year’s Group of 7 meeting at his luxury golf club near Miami, a swift reversal after two days of intense criticism over awarding his family company a major diplomatic event. ","After Criticism, Trump to Select New Location for G7"
"2019-09-06T15:59:47+0000","The Justice Department has opened an antitrust inquiry into the four major automakers that struck a deal with California this year to reduce automobile emissions, according to people familiar with the matter, escalating a standoff over one of the president’s most significant rollbacks of climate regulations. ","Justice Dept. Investigates California Emissions Pact That Embarrassed Trump"
"2019-06-04T10:00:04+0000","WASHINGTON — When Joseph R. Biden Jr. was Barack Obama’s vice president, their administration brokered the landmark Paris climate accord and imposed the nation’s first federal regulations for cutting carbon dioxide emissions.","Climate Change Takes Center Stage as Biden and Warren Release Plans"
"2019-08-17T10:27:08+0000","These three things are all true: The United States almost certainly isn’t in a recession right now. It may well avoid one for the foreseeable future. But the chances that the nation will fall into recession have increased sharply in the last two weeks.","How the Recession of 2020 Could Happen"
"2019-07-03T09:00:14+0000","In the run-up to the 2020 census, the government has embraced technology as never before, hoping to halt the ballooning cost of the decennial head count. For the first time, households will have the option of responding online, and field workers going door to door will be equipped with smartphones to log the information they collect.","Hacking, Glitches, Disinformation: Why Experts Are Worried About the 2020 Census"
"2019-07-14T23:57:36+0000","WASHINGTON — President Trump woke up on Sunday morning, gazed out at the nation he leads, saw the dry kindling of race relations and decided to throw a match on it. It was not the first time, nor is it likely to be the last. He has a pretty large carton of matches and a ready supply of kerosene.","Trump Fans the Flames of a Racial Fire"
"2019-06-20T00:05:49+0000","WASHINGTON — President Trump revels in his friendships with the leaders of China and North Korea, but can seem jealous when his two friends spend time with each other. He once griped that President Xi Jinping of China encouraged a visiting Kim Jong-un of North Korea to take a harder line in his nuclear diplomacy with the United States.","A Trio of Unlikely Partners: Kim, Xi and Trump"
"2019-07-31T15:39:47+0000","Hal Prince, the Broadway royal and prodigious Tony winner who produced or directed (and sometimes both) many of the most enduring musicals in theater history, including “West Side Story,” “Fiddler on the Roof,” “Cabaret,” “Sweeney Todd” and “The Phantom of the Opera,” the longest-running show in Broadway history, died on Wednesday in Reykjavik, Iceland. He was 91.","Hal Prince, Giant of Broadway and Reaper of Tonys, Dies at 91"
"2019-08-01T17:44:59+0000","WASHINGTON — President Trump, frustrated by increasingly fruitless negotiations with China, said Thursday that the United States would impose a 10 percent tariff on an additional $300 billion worth of Chinese imports next month, a significant escalation in a trade war that has dragged on for more than a year.","China Reacts to Trade Tariffs and Hong Kong Protests by Blaming U.S."
"2019-08-04T18:01:29+0000","Fredrick Brennan was getting ready for church at his home in the Philippines when the news of a mass shooting in El Paso arrived. His response was immediate and instinctive.","‘Shut the Site Down,’ Says the Creator of 8chan, a Megaphone for Gunmen"
"2019-08-31T00:05:50+0000","A mysterious explosion on Thursday at an Iranian space center prompted speculation that it was American sabotage, rather than an accident, that was responsible for the third successive failure of Tehran’s efforts to show it could loft satellites into orbit.","In a Tweet Taunting Iran, Trump Releases an Image Thought to Be Classified"
"2019-07-14T14:33:19+0000","WASHINGTON — President Trump said on Sunday that a group of four minority congresswomen feuding with Speaker Nancy Pelosi should “go back” to the countries they came from rather than “loudly and viciously telling the people of the United States” how to run the government.","Trump Tells Congresswomen to ‘Go Back’ to the Countries They Came From"
"2019-07-11T00:38:28+0000","When federal prosecutors announced sex-trafficking charges against Jeffrey Epstein this week, they described him as “a man of nearly infinite means.” They argued that his vast wealth — and his two private jets — made him a flight risk.","Jeffrey Epstein’s Fortune May Be More Illusion Than Fact"
"2019-09-11T22:24:36+0000","WASHINGTON — The Supreme Court on Wednesday allowed the Trump administration to bar most Central American migrants from seeking asylum in the United States, while the legal fight plays out in the courts.","Supreme Court Says Trump Can Bar Asylum Seekers While Legal Fight Continues"
"2019-08-07T16:56:14+0000","It was a teeming summer night, typical in Times Square, with tourists strolling beneath the glowing screens over Broadway, vendors hawking souvenirs and audiences sitting in theaters as performances neared their end. Celia Keenan-Bolger, who plays Scout Finch in “To Kill a Mockingbird” at the Shubert Theater, was giving her final speech. ","There Was No Gunfire in Times Square. But the Panic Was Still Real."
"2019-07-12T20:34:01+0000","The Federal Trade Commission has approved a fine of roughly $5 billion against Facebook for mishandling users’ personal information, according to three people briefed on the vote, in what would be a landmark settlement that signals a newly aggressive stance by regulators toward the country’s most powerful technology companies.","F.T.C. Approves Facebook Fine of About $5 Billion"
"2019-10-02T21:55:57+0000","WASHINGTON — As a member of Congress, Mike Pompeo drove the Republican inquiry into the killing of a United States ambassador in Benghazi, Libya, and made clear there was no place for politics in American diplomacy. Nor, he said, would he tolerate “dithering” by an Obama administration State Department that he called “deeply obstructive of getting the American people the facts that they needed.”","Echoes of Benghazi Criticism and Anger Confront Pompeo in Ukraine Inquiry"
"2019-08-04T02:47:15+0000","EL PASO — A 21-year-old gunman armed with a powerful rifle turned a crowded Walmart store in this majority-Hispanic border city into a scene of chaos and bloodshed on Saturday, stalking shoppers in the aisles in an attack that left at least 20 people dead and 26 others wounded, the authorities said.","Massacre at a Crowded Walmart in Texas Leaves 20 Dead"
"2019-09-13T01:13:40+0000","HOUSTON — Former Vice President Joseph R. Biden Jr. clung tightly to the legacy of the Obama administration in a Democratic primary debate on Thursday, asking voters to view him as a stand-in for the former president as an array of progressive challengers, led by Senators Elizabeth Warren and Bernie Sanders, brandished more daring policy promises and questioned Mr. Biden’s political strength.","Attacks on Biden in Debate Highlight Divide Over the Obama Legacy"
"2019-07-11T13:35:34+0000","WASHINGTON — President Trump on Thursday abandoned his quest to place a question about citizenship on the 2020 census, and instructed the government to compile citizenship data from existing federal records instead, ending a bitterly fought legal battle that turned the nonpartisan census into an object of political warfare.","Trump Says He Will Seek Citizenship Information From Existing Federal Records, Not the Census"
"2019-10-15T10:21:07+0000","DOHUK, Iraq — Russia asserted itself in a long-contested part of Syria on Tuesday after the United States pulled out, giving Moscow a new opportunity to press for Syrian army gains and project itself as a rising power broker in the Middle East.","In Syria, Russia Is Pleased to Fill an American Void"
"2019-09-23T06:45:09+0000","WASHINGTON — After spending billions of dollars to assemble the world’s most potent arsenal of cyberweapons and plant them in networks around the world, United States Cyber Command — and the new era of warfighting it has come to represent — may face a critical test in the coming weeks. ","The Urgent Search for a Cyber Silver Bullet Against Iran"
"2019-06-09T21:48:31+0000","KHARTOUM, Sudan — The young doctor had been on the run for days, hiding in a quiet corner of the fear-filled Sudanese capital, Khartoum, his wounded head swaddled in bandages.","Sudan Protesters, Devastated but Defiant, Regroup Underground After Crackdown"
"2019-08-09T00:38:48+0000","WASHINGTON — For many businesses, a sudden deluge of phone calls might signal an influx of new customers. But most of the 25 calls Justin Herricks received before noon on Thursday were from people who wanted to tell him he was a white supremacist for donating money to President Trump.","Trump’s Opponents Want to Name His Big Donors. His Supporters Say It’s Harassment."
"2019-10-22T09:00:18+0000","HOUSTON — The baby’s lips were turning blue from lack of oxygen in the blood when his mother, Kristin Johnson, rushed him to an emergency room here last month. Only after he was admitted to intensive care with a respiratory virus did Ms. Johnson learn that he had been dropped from Medicaid coverage.","Medicaid Covers a Million Fewer Children. Baby Elijah Was One of Them."
"2019-10-10T00:20:15+0000","","PG&E Outage Darkens Northern California Amid Wildfire Threat"
"2019-08-20T14:22:29+0000","ROME — After 14 months of bickering, Italy’s government collapsed on Tuesday, plunging a key European nation already hobbled by financial fragility and political chaos into a renewed period of crisis and uncertainty.","Italy’s Government Collapses, Turning Chaos Into Crisis"
"2019-08-31T04:02:01+0000","HONG KONG — Crowds of masked prodemocracy demonstrators in Hong Kong defied official warnings, set fires in the streets and battled the police on Saturday in the most intense clashes since protests over the city’s fate began in June.","Hong Kong Protesters Clash With Police After Defying Ban"
"2019-10-23T09:01:35+0000","NORTHEASTERN SYRIA — The prisoners cover the floor like a carpet of human despair. Many are missing eyes or limbs, some are bone-thin from sickness, and most wear orange jumpsuits similar to what the Islamic State, the terrorist group they once belonged to, dressed its own captives in before it killed them.","‘What Is Going to Happen to Us?’ Inside ISIS Prison, Children Ask Their Fate"
"2019-10-21T10:28:00+0000","KABUL, Afghanistan — The United States has been quietly reducing its troop strength in Afghanistan despite the lack of a peace deal with the Taliban, weakening its hand in any future negotiations with the insurgents.","U.S. Is Quietly Reducing Its Troop Force in Afghanistan"
"2019-10-11T12:38:23+0000","CEYLANPINAR, Turkey — The Turkish invasion of Kurdish-held territory in northern Syria raised new fears of a resurgence of the Islamic State on Friday, as five militants escaped from a Kurdish-run prison and the extremist group claimed responsibility for a bomb that exploded in the regional capital.","ISIS Rears Its Head, Adding to Chaos as Turkey Battles Kurds"
"2019-07-05T09:00:10+0000","A decade after the Great Recession released its grip on the American economy, the job market shows no sign of falling into another slump.","Strong Jobs Report Eases Fears of Damage From Trade War"
"2019-07-22T10:55:45+0000","The credit bureau Equifax will pay about $650 million — and perhaps much more — to resolve most claims stemming from a 2017 data breach that exposed sensitive information on more than 147 million consumers and demonstrated how little control Americans have over their personal data.","Equifax to Pay at Least $650 Million in Largest-Ever Data Breach Settlement"
"2019-09-02T07:00:10+0000","STAMFORD, Conn. — Tuesday night was rough. A sharp scent drifted into Marjorie Salmon’s dream world at 4 a.m. She was still trying to rouse herself when its source, her 77-year-old client, pounded on her bedroom door, yelling that he wanted to go home.","On the Job, 24 Hours a Day, 27 Days a Month"
"2019-06-24T14:31:30+0000","NENTÓN, Guatemala — The Aguilar family had been preparing since February to migrate north. They borrowed $2,600, made a down payment to a smuggler and set off from their home in northern Guatemala last week.","Mexico’s Crackdown at Its Southern Border, Prompted by Trump, Scares Migrants From Crossing"
"2019-10-30T18:02:13+0000","WASHINGTON — The Federal Reserve cut interest rates on Wednesday for the third time this year, reversing nearly all of 2018’s rate increases as uncertainty from President Trump’s trade war and slowing global growth continue to pose risks to the United States economy.","Federal Reserve Cuts Interest Rates for Third Time in 2019"
"2019-07-06T06:55:10+0000","NASHVILLE — Jonna Laidlaw was terrorized by rain. Her house, with its lovely screened-in back porch, had flooded some 20 times since 2001, from a few inches to six feet. She and her husband would do their repairs with help from their flood insurance, but before long it would flood again.","As Floods Keep Coming, Cities Pay Residents to Move"
"2019-06-29T16:45:18+0000","AUSTIN, Tex. — For much of the last three months, the most popular Joseph R. Biden Jr. website has been a slick little piece of disinformation that is designed to look like the former vice president’s official campaign page, yet is most definitely not pro-Biden.","Trump Consultant Is Trolling Democrats With Biden Site That Isn’t Biden’s"
"2019-08-05T00:29:42+0000","At campaign rallies before last year’s midterm elections, President Trump repeatedly warned that America was under attack by immigrants heading for the border. “You look at what is marching up, that is an invasion!” he declared at one rally. “That is an invasion!”","El Paso Shooting Suspect’s Manifesto Echoes Trump’s Language"
"2019-09-17T00:44:24+0000","DETROIT — A decade ago, when General Motors was on the brink of collapse and was ushered into bankruptcy by the federal government, the company’s unionized workers bore a significant portion of the pain to bring the automaker back to financial health.","To G.M. Workers, U.A.W. Strike Is Chance for Overdue Reward"
"2019-08-19T15:33:34+0000","Planned Parenthood said Monday that it would withdraw from the federal family planning program that provides birth control and other health services to poor women rather than comply with a new Trump administration rule that forbids referrals to doctors who can perform abortions. ","Planned Parenthood Refuses Federal Funds Over Abortion Restrictions"
"2019-06-26T01:15:10+0000","WASHINGTON — Robert S. Mueller III, the former special counsel, has agreed to testify in public before Congress next month about his investigation into Russia’s election interference and possible obstruction of justice by President Trump, House Democrats announced on Tuesday night.","Mueller to Testify to Congress, Setting Up a Political Spectacle"
"2019-06-28T13:33:03+0000","WASHINGTON — For seven years, the so-called Dreamers — nearly 800,000 young men and women who were brought to the United States illegally as children — have lived in limbo, protected from immediate deportation but without the guarantee of any permanent future in the United States.","It’s Now the Supreme Court’s Turn to Try to Resolve the Fate of the Dreamers"
"2019-10-15T16:31:03+0000","WASHINGTON — A senior State Department official in charge of Ukraine policy told impeachment investigators on Tuesday that he was all but cut out of decisions regarding the country after a May meeting organized by Mick Mulvaney, the acting White House chief of staff, describing his sidelining by President Trump’s inner circle as “wrong,” according to a lawmaker who heard the testimony.","Senior State Dept. Ukraine Expert Says White House Sidelined Him"
"2019-10-16T00:26:16+0000","WASHINGTON — President Trump has for weeks sought to unmask the whistle-blower who shed light on his Ukraine dealings. But instead aides have fixated on one another: Advisers began a fact-finding review that some fear is a hunt for a scapegoat, according to White House aides and other people familiar with it.","White House Is Said to Open Internal Review of Ukraine Call"
"2019-08-12T23:38:09+0000","HONG KONG — As anti-government demonstrations escalate in Hong Kong, each side is staking out increasingly polarized positions, making it difficult to find a path to compromise between the protesters and China’s ruling Communist Party.","Protests Put Hong Kong on Collision Course With China’s Communist Party"
"2019-06-22T16:12:43+0000","President Trump’s last-minute decision to pull back from a retaliatory strike on Iran underscored the absence of appealing options available to him as Tehran races toward its next big challenge to the United States: building up and further enriching its stockpile of nuclear fuel.","Facing Intensifying Confrontation With Iran, Trump Has Few Appealing Options"
"2019-09-09T07:00:06+0000","When Jean Harrow got a ticket in 2016 for unauthorized renovations to her Queens home, she thought it was a misunderstanding. Yes, she had put a powder room in her basement without realizing she needed a permit. But surely, she said, she wasn’t responsible for the washer and dryer a previous owner had installed downstairs — illegally, according to the $1,600 citation. She would simply explain that at her hearing.","The Law Was Aimed at Deadly Machinery. It Hit Her Washer."
"2019-08-18T17:57:29+0000","For half a century Plácido Domingo has been one of opera’s most beloved figures: a celebrated tenor, a leader of opera companies and an ambassador for the art form who, at 78, continues to be a box-office draw in an era of diminished star power.","Accusations Against Plácido Domingo Divide the Opera World"
"2019-08-15T20:26:47+0000","New York City detectives questioning a boy facing a felony charge last year offered him a McDonald’s soda. When the boy left, they took the straw and tested it for his DNA. ","N.Y.P.D. Detectives Gave a Boy, 12, a Soda. He Landed in a DNA Database."
