SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,SPY,NDAQ,PC1,PC2,PC3
555.6885714285714,552.0974490298207,62558.44839857651,55937.313698180194,63.10311827099451,53.73233258986858,488.6836,-11642046.579373922,182.6461,14.905,-4.267620921729228,-1.1192313027666765,0.13409925616564453
558.7578571428572,560.917789159178,61822.44839857651,58809.1823593924,58.85066941297632,55.42654195189716,492.482728,-27275961.04404828,171.4417,14.9518,-4.2657891668184424,-1.3272607336519184,0.5260110400043415
561.3878571428571,567.2514172712877,60839.4483985765,61740.115065243175,57.39654479710725,47.71540857225493,496.13107344,-24675348.56203858,167.1574,15.6533,-4.1400319949958675,-1.9948002496413277,0.05294848209752136
571.3314285714285,586.392561635116,71078.98894571853,64580.29524762385,69.81411369523754,54.998782470991685,499.2264519712001,7636301.3647108,181.4136,16.9917,-3.8058381711971117,-0.43138921128528734,-0.4131809610557298
583.1342857142856,607.2202200837672,74258.22800497914,68725.55511642473,71.89653344641152,55.71745924600194,503.841922931776,49880892.51583695,182.0767,17.206,-3.597202529215391,-0.18072132709850025,-0.5479984867098107
597.4057142857143,627.4415240725982,75886.33267218384,73741.18320762717,76.61728658211658,64.26894814947163,509.0192344731405,102638594.86352286,178.9488,17.1502,-3.511602897620686,0.8195852562301815,-0.3296332293640756
611.7714285714285,642.8426541962517,74293.33267218384,74812.63111644895,76.88770053475935,61.133708864667376,514.4384497836777,14022710.78152144,170.0395,18.2794,-3.489558188653596,0.5806669950262292,-0.6363679356023916
624.0121428571429,650.1663003034182,69775.3872178847,73318.35085408413,71.22229102167182,57.673725799759886,519.1896807880041,-45462780.202239245,169.8991,18.6597,-3.466147828198493,-0.13538620383059813,-0.44223790305010807
639.0428571428572,662.8041269296292,74493.12450330354,72853.94813112402,73.76075517716401,58.13105831574588,524.603285172244,40874654.90559097,181.3235,19.646,-3.1490592912790913,0.14224850004055625,-0.6034534853103527
648.6578571428572,666.8315766723454,69299.12450330354,71189.21207483059,64.29375411472381,52.05955554168332,529.2688194687992,-7487040.950817727,182.0381,18.2639,-3.197595567185239,-1.0518982173380342,-0.2467346240034123
662.0664285714286,676.0166997826993,73570.12450330354,72454.12450330354,68.65336460113676,52.49694192660026,534.0814430794231,70340697.44896638,185.1349,19.5365,-2.9503053237368317,-0.6514165370687903,-0.5879438449178465
